467,71.5832672119
466,71.3380813599
465,63.337223053
468,62.4995384216
478,62.2058677673
473,57.0245399475
499,55.8438262939
479,55.7769393921
495,55.6771774292
493,55.6120109558
481,55.4690132141
492,54.5062103271
474,53.9970016479
490,53.5618247986
488,53.3756942749
496,52.0087089539
470,50.8425598145
486,50.2543716431
484,50.2376899719
469,49.7854576111
457,49.5942573547
480,49.5474281311
494,49.4890937805
459,49.3143119812
472,49.1534500122
471,49.1000328064
489,49.0486335754
497,48.287902832
500,47.6863479614
463,47.0560684204
451,46.6389465332
476,46.5727539063
458,46.4237670898
452,46.0529747009
491,46.0238304138
475,45.9793128967
453,45.8805847168
464,45.7629203796
485,45.4526977539
487,45.2937202454
498,44.8108901978
477,44.5191879272
460,43.9098625183
461,42.7775268555
456,42.6920318604
483,42.2341575623
482,41.9685173035
454,41.7507820129
455,41.2758712769
462,40.5338592529
